t	y1	y2
0	0	1
0.001	0.001	1
0.002	0.002	0.999998
0.003	0.003	0.999996
0.004	0.00399999	0.999992
0.005	0.00499998	0.999988
0.006	0.00599997	0.999982
0.007	0.00699994	0.999976
0.008	0.00799992	0.999968
0.009	0.00899988	0.99996
0.01	0.00999984	0.99995
0.011	0.0109998	0.99994
0.012	0.0119997	0.999928
0.013	0.0129996	0.999916
0.014	0.0139995	0.999902
0.015	0.0149994	0.999888
0.016	0.0159993	0.999872
0.017	0.0169992	0.999856
0.018	0.017999	0.999838
0.019	0.0189989	0.99982
0.02	0.0199987	0.9998
0.021	0.0209985	0.99978
0.022	0.0219982	0.999758
0.023	0.022998	0.999736
0.024	0.0239977	0.999712
0.025	0.0249974	0.999688
0.026	0.0259971	0.999662
0.027	0.0269967	0.999636
0.028	0.0279963	0.999608
0.029	0.0289959	0.99958
0.03	0.0299955	0.99955
0.031	0.030995	0.99952
0.032	0.0319945	0.999488
0.033	0.032994	0.999456
0.034	0.0339935	0.999422
0.035	0.0349929	0.999388
0.036	0.0359922	0.999352
0.037	0.0369916	0.999316
0.038	0.0379909	0.999278
0.039	0.0389901	0.99924
0.04	0.0399893	0.9992
0.041	0.0409885	0.99916
0.042	0.0419877	0.999118
0.043	0.0429868	0.999076
0.044	0.0439858	0.999032
0.045	0.0449848	0.998988
0.046	0.0459838	0.998942
0.047	0.0469827	0.998896
0.048	0.0479816	0.998848
0.049	0.0489804	0.9988
0.05	0.0499792	0.99875
0.051	0.0509779	0.9987
0.052	0.0519766	0.998648
0.053	0.0529752	0.998596
0.054	0.0539738	0.998542
0.055	0.0549723	0.998488
0.056	0.0559707	0.998432
0.057	0.0569691	0.998376
0.058	0.0579675	0.998318
0.059	0.0589658	0.99826
0.06	0.059964	0.998201
0.061	0.0609622	0.99814
0.062	0.0619603	0.998079
0.063	0.0629583	0.998016
0.064	0.0639563	0.997953
0.065	0.0649542	0.997888
0.066	0.0659521	0.997823
0.067	0.0669499	0.997756
0.068	0.0679476	0.997689
0.069	0.0689453	0.99762
0.07	0.0699429	0.997551
0.071	0.0709404	0.997481
0.072	0.0719378	0.997409
0.073	0.0729352	0.997337
0.074	0.0739325	0.997263
0.075	0.0749297	0.997189
0.076	0.0759269	0.997113
0.077	0.0769239	0.997037
0.078	0.0779209	0.99696
0.079	0.0789179	0.996881
0.08	0.0799147	0.996802
0.081	0.0809115	0.996721
0.082	0.0819081	0.99664
0.083	0.0829047	0.996557
0.084	0.0839013	0.996474
0.085	0.0848977	0.99639
0.086	0.085894	0.996304
0.087	0.0868903	0.996218
0.088	0.0878865	0.99613
0.089	0.0888826	0.996042
0.09	0.0898786	0.995953
0.091	0.0908745	0.995862
0.092	0.0918703	0.995771
0.093	0.092866	0.995679
0.094	0.0938616	0.995585
0.095	0.0948572	0.995491
0.096	0.0958526	0.995396
0.097	0.096848	0.995299
0.098	0.0978432	0.995202
0.099	0.0988384	0.995103
0.1	0.0998334	0.995004
0.101	0.100828	0.994904
0.102	0.101823	0.994803
0.103	0.102818	0.9947
0.104	0.103813	0.994597
0.105	0.104807	0.994493
0.106	0.105802	0.994387
0.107	0.106796	0.994281
0.108	0.10779	0.994174
0.109	0.108784	0.994065
0.11	0.109778	0.993956
0.111	0.110772	0.993846
0.112	0.111766	0.993735
0.113	0.11276	0.993622
0.114	0.113753	0.993509
0.115	0.114747	0.993395
0.116	0.11574	0.99328
0.117	0.116733	0.993163
0.118	0.117726	0.993046
0.119	0.118719	0.992928
0.12	0.119712	0.992809
0.121	0.120705	0.992688
0.122	0.121698	0.992567
0.123	0.12269	0.992445
0.124	0.123682	0.992322
0.125	0.124675	0.992198
0.126	0.125667	0.992072
0.127	0.126659	0.991946
0.128	0.127651	0.991819
0.129	0.128643	0.991691
0.13	0.129634	0.991562
0.131	0.130626	0.991432
0.132	0.131617	0.991301
0.133	0.132608	0.991169
0.134	0.133599	0.991035
0.135	0.13459	0.990901
0.136	0.135581	0.990766
0.137	0.136572	0.99063
0.138	0.137562	0.990493
0.139	0.138553	0.990355
0.14	0.139543	0.990216
0.141	0.140533	0.990076
0.142	0.141523	0.989935
0.143	0.142513	0.989793
0.144	0.143503	0.98965
0.145	0.144492	0.989506
0.146	0.145482	0.989361
0.147	0.146471	0.989215
0.148	0.14746	0.989068
0.149	0.148449	0.98892
0.15	0.149438	0.988771
0.151	0.150427	0.988621
0.152	0.151415	0.98847
0.153	0.152404	0.988318
0.154	0.153392	0.988165
0.155	0.15438	0.988012
0.156	0.155368	0.987857
